mensagem,chave,salt,mensagem_criptografada
AZIOOURG,VMMSVP,FTYD,1574759963
EXFOVAVZ,WCVRWG,ECZZ,3430499025
RBBFGDIX,DSKAZA,WEYB,1687588193
JMOFSEUZ,FSRNQK,AONW,3526585363
AUCZXVXO,ITNSZD,QBBL,2660019679
OSEQOABA,BZXMXK,GHPY,1269472384
JSODVVBB,INTGKI,DBBI,622767800
CKIZBBTD,KQAQVX,HRCK,3703394044
XUPQZZJZ,ZYWLAI,BZWG,3708339939
VSBMQFKF,JEWCFG,URYR,207941887
QXVTNLWY,RLIRBL,HHSE,2727095955
UFUMQAQM,WYDMZT,GSUS,3884966403
ELROSKLA,STXPFH,XBKX,2834961886
ZQGEMEUC,AAYAGU,REUT,2814975508
QVFEZFIG,BOJFWV,VEEC,3987195074
LYMTSJEJ,DKTLDA,TPLA,2213147269
PIPQCFZQ,ALAGSX,BSWR,360406402
FJSGTGFN,AYBQJL,CYBM,1507782543
MGIEBVYP,QEZGZG,RBQV,96847183
QBGRLOYJ,TLFUDX,AOWK,2493570901
CYBAYIGY,VYLCYE,XZHK,1245947501
MTBYBKPK,WWQDRK,PVJP,1173876990
QYJWZBIZ,UXSLQG,SIDM,2154838826
BBDAFSEE,JWZIDD,SAUX,1608887001
HDUFLRAJ,WJHCUD,OIPE,1413222521
NVNFLZMW,MHAJFJ,DRME,1967030138
BIQVNJCN,WKRLNB,YBOD,2070179684
JVYJEQZR,APKGWD,AJAH,449786989
VHKYCYXF,LYBMSK,ATKW,2082586750
VYCVAOKO,CRWBFL,IKKQ,1075075719
WXEWHKYJ,BVIISG,QAPS,754772539
XGYUZBGU,SUPLYK,TWAG,1174389868
SWAZIJHN,HZLLMP,CKRR,399120615
BRXEAJZC,OKWQXD,MWJK,1475198118
VIJUKBUW,KBYTFZ,RALP,1373364081
EJRYRZQY,WGFPNS,YFRT,1859865918
NRIDTRYE,GSFJDH,EQWT,1653436039
VRWHNIRQ,QLRZOQ,SYWM,3387040401
JCXICAHS,TUTHVU,QPVF,3742802862
OTNNRENE,PDZLMF,IEUI,704494326
UGJXQJRG,JPWSSN,RMBO,884163031
SXKJTLQW,HOMQSU,UEJN,2292423426
CMNTSQQW,NVXQOZ,RGLS,111675448
SIUHRAMU,VFUBQY,MKKI,2731362732
AASIHHZJ,PXAHUU,EIAA,2947259172
PDMBRPHL,WNXBQF,EGPA,292851136
AMSNDTKJ,CGMNQK,MCMJ,3175401069
OUGLAGCA,XIUACX,ZHTG,3248327200
PPXUDTUC,IKVVPG,GRUN,1986562342
IWJYMXZR,YCYIVL,JZOR,3180044970
NUDBHWEE,SOSTNY,INIQ,4192719434
SWFJTRMU,BCHIXP,OOGO,3530145963
VCQIRQUS,DNNCPI,LBGI,2193642340
